Place_Id,Place_name,city,category,place_description,rating,label,picture
1,Goa Cemara Beach,Yogyakarta,Beach Tourism,"Goa Cemara Beach is a beach tourist attraction located in Patihan Hamlet, Gadingsari Village, Sanden District, Bantul Regency. Special Region of Yogyakarta. This beach is located right next to Samas Beach and Pandansari Beach. This beach has black but soft sand with quite large waves characteristic of the south coast. This beach is a new development beach where there are many shady pine trees that form a cave-like shape, this is what makes this beach called Goa Cemara. This pine tree aims to protect abrasion from sea air and prevent sand dunes from being displaced by wind.",4.4,water activities,https://storage.googleapis.com/gonusa_image/pantai-goacemara.jpeg
2,Drini Beach,Yogyakarta,Beach Tourism,"Drini Beach is a tourist attraction located in Banjarejo Village, Tanjungsari District, Gunungkidul, Yogyakarta. It is located east of Baron Beach and about 1km east of Sepanjang Beach. However, the actual distance to get to this beach is 60 km or about 2-3 hours from the city of Yogyakarta. The infrastructure to Drini Beach is quite good, although the access road to this beach is quite steep and winding. Drini Beach is a beach directly facing the Indian Ocean. The beach has a fairly steep coastal slope of about 10 degrees and is part of Wonosari, which is dominated by karst rocks from Mount Sewu. This beach has not been touched by many local and foreign tourists because it is located in a remote area. This is why Drini Beach is known as the Virgin Beach. This term is used by the local community because the condition of Drini Beach is still clean, the air is cool, the water feels cold coupled with the dazzling white sand and the current is not as strong as at Parangtritis Beach. This beach has a large cliff in the middle of the beach that divides the beach into two sides, the west side and the east side. This cliff is so beautiful that it looks like a small island floating in the middle of the beach. A lighthouse has been built on the top of this reef and from the top of the lighthouse our eyes will be spoilt with an amazingly beautiful view.... On this beach you can also see the seaweed between the corals and other marine life.",4.5,water activities,https://storage.googleapis.com/gonusa_image/Pantai-Drini.jpg
3,Parangtritis Beach,Yogyakarta,Beach Tourism,"Pantai Parangtritis (bahasa Jawa: ê¦¥ê¦±ê¦¶ê¦±ê¦¶ê¦‚ ê¦¥ê¦«ê¦ê¦ ê¦¿ê¦¶ê¦ ê¦¶ê¦±ê§€, translit. Pasisir Parangtritis) adalah tempat wisata yang terletak di Desa Parangtritis, Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta. Jaraknya kurang lebih 27 km dari pusat Kota Yogyakarta. Pantai ini boleh terbilang adalah salah satu destinasi wisata terkenal di Yogyakarta dan paling favorit diantara para wisatawan sejak lama, bahkan Pantai Parangtritis telah menjadi ikon pariwisata di Yogyakarta. Pantai Parangtritis mempunyai nilai simbolis yang merupakan garis yang bersifat magis yang menghubungkan Panggung Krapyak, Keraton Yogyakarta, Tugu Yogyakarta dan Gunung Merapi yang dikenal sebagai Garis Imajiner Yogyakarta.\nPantai yang terletak di sisi timur Pantai Parangkusumo ini terkenal diantara para wisatawan karena memiliki legenda yang melekat dengan Ratu Kidul sebagai penguasa laut selatan dan keindahannya. Pantai ini merupakan pantai yang cukup luas di Yogyakarta, berbeda dengan pantai-pantai di kawasan Yogyakarta lainya seperti Pantai di Gunungkidul yang ukurannya relatif kecil.",4.6,water activities,https://storage.googleapis.com/gonusa_image/pantai-parangtritis.jpg
4,Sri Gethuk Waterfalls,Yogyakarta,Natural Tourism,"Sri Gethuk Waterfall is one of the natural attractions in Playen Subdistrict, Gunungkidul Regency, Yogyakarta. The waterfall is located on the banks of the Oyo River, so to enjoy it, you have to travel along the river by raft. Along the way, you will be treated to views in the form of limestone cliffs on either side and lush trees. In the dry season, the river water is very clear with a greenish colour and calm.\nThis Sri Gethuk waterfall has 3 springs, namely Ngandong, Dong Poh and Ngumbul springs. These three springs join together and flow through a high cliff to form Sri Gethuk Waterfall. Sri Gethuk Waterfall is about 25 metres high with 3-5 cascades depending on the season. The water, which is never dry, does not form a pool but falls directly onto the clean limestone cliffs on the riverbank. This waterfall is currently being developed to become the flagship tourist destination of Gunungkidul Regency, alongside the beaches and karst mountains.\nSri Gethuk Waterfall is also known as Slempret Waterfall. The name Slempret itself comes from a legend in Bleberan village. According to the story circulating in the community, this waterfall is the centre of the Djinn under the leadership of Jin Anggo Menduro. The waterfall originates from three springs, Kedungpoh, Ngandong and Ngumbul. The three springs flow together and form water droplets that fall from the barren karst cliffs.",4.2,water activities,
5,Indrayanti Beach,Yogyakarta,Beach Tourism,"Indrayanti Beach offers breathtaking natural beauty. The expanse of sand and the blue of the sea are unparalleled in their charm. Indrayanti Beach is one of the most recommended tourist attractions in Yogyakarta. If you feel bored in Malioboro, this beach can be an option.",4.6,water activities,https://storage.googleapis.com/gonusa_image/pantai-indrayanti.jpg
6,Marina Beach,Semarang,Beach Tourism,"Marina Beach is a popular tourist destination and the most visited by tourists in Semarang City. This beach used to be a mangrove forest that was reclaimed by the Semarang city government. At this beach, visitors can enjoy the beauty of the afternoon scenery. In addition, the quiet and comfortable atmosphere of the beach is an added value to the family favourite tourist attractions. Access to this beach is very easy as there is an office area and residential complex to the south of the beach.",4.2,water activities,https://storage.googleapis.com/gonusa_image/pantai-marina.jpeg
7,Tirang Beach,Semarang,Beach Tourism,"Tirang Beach is a tourist destination in Semarang City. The beauty of Tirang Beach makes many tourists interested in visiting this beach. The strategic location supports the large number of tourists. Tirang Beach originally came from a small island called Tirang Island which has beautiful flora and fauna. The phenomenon of erosion occurred so that the existence of Tirang Island disappeared, leaving a coastline that is now known as Tirang Beach.",3.9,water activities,https://storage.googleapis.com/gonusa_image/pantai-Tirang.jpg
8,Curug Lawe,Semarang,Natural Tourism,"Curug Lawe is a waterfall located in the Ungaran mountain region in Semarang. In Curug Lawe the water is really clean and of course the surrounding natural conditions are very beautiful. Curug Lawe and Benowo are located in the north of the children of Mount Ungaran and will be the upstream of the West Flood Canal or Kali Garang in the city of Semarang.
It is called Curug Lawe because the water falling from the steep cliff looks like white threads, which is called lawe in Javanese. Another version explains that it is called Curug Lawe because it is said that the number of existing waterfalls, from the largest to the smallest, totals 25 pieces, which is Selawe in Javanese.
In one area there are two waterfalls, Curug Lawe on the west side and Curug Benowo on the east side, with about 500m between the two waterfalls.",4.6,water activities,https://storage.googleapis.com/gonusa_image/pantai-curug-lawe.jpg
9,Semirang Waterfalls,Semarang,Natural Tourism,"Semirang Waterfall is located in the village of Gogik. The waterfall is located on the slopes of Mount Ungaran, surrounded by lush pine trees that add to the coolness. The height of the waterfall is about 45 metres and it is located in a 10 hectare protected forest area. The trail to Semirang Waterfall is fairly easy to access and is about 500 metres from the car park. To reach the site of the waterfall, visitors have to walk 1 km along an easy trekking route. On the way, tourists can hear the sound of splashing water and cross a small river that becomes the mouth of the waterfall. The journey to Semirang Waterfall takes about 34 minutes from Semarang city, covering a distance of 21.5 km.",4.5,water activities,
10,Grojogan Sewu Waterfalls,Karanganyar,Natural Tourism,"Air Terjun Grojogan sewu merupakan wisata di Kabupaten Karanganyar, Jawa Tengah. Air Terjurn ini terletak di lereng Gunung Lawu. ",4.5,water activities,
11,Jumog Waterfalls,Karanganyar,Natural Tourism,"Jumog Waterfall is a natural attraction located in Taman Batu Tiban, Jl. Jumog, Gandu, Berjo, Kec. Ngargoyoso, Karanganyar Regency, Central Java 57793. Jumog waterfall was officially opened to the public by the Karanganyar Regent on 7 August 2004. The waterfall with a height of approximately 30 metres is sourced from the original mountain spring and never recedes. Jumog waterfall flows into three branches namely Klueng, Kusumajati, and Jubleg. Jumog Waterfall has facilities including food stalls, gazebos, play areas, mosques, swimming pools, live music, toilets, parking spaces, halls, souvenir shops.",4.2,water activities,
12,Segoro Gunung Waterfalls,Karanganyar,Natural Tourism,"Segoro Gunung Waterfall is so named because it is located in Segoro Gunung Village, Ngargoyoso District, Karanganyar Regency. The location of Segoro Gunung Waterfall can be reached with a period of approximately one hour to 1.5 hours. The height of Segoro Gunung Waterfall is about 20 metres. The source of Segoro Gunung Waterfall is Parang Spring. This tourist attraction still looks natural, not much touched by man. Around the waterfall, there is a campground for scouts or nature lovers.",4,water activities,
13,Parang Ijo Waterfalls,Karanganyar,Natural Tourism,"Parang Ijo Waterfall is located at the foot of Mount Lawu. It is located in Munggur hamlet, Girimulyo village, Ngargoyoso district, Karanganyar regency, Central Java province. Parang means cliff and Ijo means green. Parang Ijo means green cliff. This waterfall is unique in that the water flows between cliffs filled with green vegetation. Moss, ferns and other vegetation thrive on the walls of the waterfall. ",4.3,water activities,
14,Sewawar Sedinding Waterfalls,Karanganyar,Natural Tourism,"Sewawar Sedinding Waterfall is an artificial tour located at Jalan Trengguli, Jenawi, Now, Trengguli, Jenawi, Karanganyar Regency, Central Java. In this area there are 2 waterfalls, namely Sewawar Waterfall and Sedinding Waterfall. The natural atmosphere makes this place can eliminate fatigue. From the car park to the waterfall, you can walk about 700m.
",4.3,water activities,
15,Sembukan Beach,Wonogiri,Beach Tourism,"Sembukan Beach is located in Sembukan Village, Paranggupito Subdistrict, about 46 kilometres from Wonogiri town centre towards the south coast of Java with a driving time of 75 minutes. Sembukan Beach is located in a steep coral mountain area. Coral reefs, steep cliffs and big waves. The view of this beach is very beautiful from the top of the hill. Hundreds of steps are built up the hill, making it easier for visitors to climb to the top of the hill.",4.5,water activities,https://storage.googleapis.com/gonusa_image/pantai-sembukan.jpg
16,Nampu Beach,Wonogiri,Beach Tourism,"Nampu Beach is located on the south coast of Wonogiri Regency, Central Java. The beach, which is located in Dringo hamlet, Paranggupito subdistrict, Wonogiri Regency, has become a tourist destination for both locals and foreigners. With its white sand beach and decorated with beautiful corals, this beach has become one of the most popular tourist attractions in Wonogiri. The beach, which is the landmark of Wonogiri City, is located in the border area of three provinces, DIY, Central Java and East Java. Wheelchair users are strongly discouraged here as access from the car park to the beach is a rather steep staircase.",4.5,water activities,https://storage.googleapis.com/gonusa_image/pantai-nampu.jpg
